graph,algo,diameter,bfs_count,startvtx_degree,startvtx_ecc,time_diameter_exact
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,ifub_foursweephd,12,6,25018,6,581.727
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,ifub_hd,12,2,25018,6,178.65
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,random,12,5,34,7,604.286
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,q1,12,6,1,7,941.237
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,q2,12,5,12,7,822.383
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,q3,12,4,158,7,32.6523
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,q4,12,4,2070,7,84.0171
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323,q5,12,2,25018,6,299.52
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,ifub_foursweephd,13,8,15422,7,434.415
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,ifub_hd,13,4,15422,7,484.839
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,random,13,31,2,8,781.623
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,q1,13,80,1,9,10036.2
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,q2,13,19,11,8,1020.46
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,q3,13,11,124,7,99.0362
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,q4,13,8,1451,7,799.82
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=2323_square,q5,13,4,15422,7,463.695
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=252,ifub_foursweephd,10,6,24973,5,242.06
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=252,ifub_hd,10,2,24973,5,94.8366
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=252,random,10,40,3,7,3250.67
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=252,q1,10,179,1,7,4862.39
