graph,algo,diameter,bfs_count,chosenvtx, weightp, time_diameter_exact,sx,sy
cl_n=50000_deg=10_ple=2.1_seed=1001,ifub_foursweephd,9,12,0,-1, 626.935,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=1001,ifub_hd,9,8,0,-1, 255.118,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=14,ifub_foursweephd,9,10,0,-1, 369.838,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=14,ifub_hd,9,6,0,-1, 162.514,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=237,ifub_foursweephd,9,11,0,-1, 778.094,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=237,ifub_hd,9,7,0,-1, 239.543,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=2,ifub_foursweephd,10,6,0,-1, 418.756,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=2,ifub_hd,10,2,0,-1, 3.02845,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=321,ifub_foursweephd,10,17,31,-1, 855.367,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=321,ifub_hd,10,3,0,-1, 104.57,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=356,ifub_foursweephd,10,6,0,-1, 326.582,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=356,ifub_hd,10,2,0,-1, 3.01929,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=489,ifub_foursweephd,9,8,0,-1, 457.768,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=489,ifub_hd,9,4,0,-1, 125.953,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=55,ifub_foursweephd,10,7,0,-1, 467.939,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=55,ifub_hd,10,3,0,-1, 148.568,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=64,ifub_foursweephd,9,8,0,-1, 93.1038,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=64,ifub_hd,9,4,0,-1, 190.95,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=666,ifub_foursweephd,10,6,0,-1, 223.418,-1,-1
cl_n=50000_deg=10_ple=2.1_seed=666,ifub_hd,10,2,0,-1, 3.0761,-1,-1
