graph,n,deg,dim,ple,T,alpha,square,seed
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=1001_square,50000,10,2,2.1,0,inf,1,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=1001_torus,50000,10,2,2.1,0,inf,0,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=14_square,50000,10,2,2.1,0,inf,1,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=14_torus,50000,10,2,2.1,0,inf,0,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=237_square,50000,10,2,2.1,0,inf,1,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=237_torus,50000,10,2,2.1,0,inf,0,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=2_square,50000,10,2,2.1,0,inf,1,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=2_torus,50000,10,2,2.1,0,inf,0,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=321_square,50000,10,2,2.1,0,inf,1,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=321_torus,50000,10,2,2.1,0,inf,0,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,50000,10,2,2.1,0,inf,1,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_torus,50000,10,2,2.1,0,inf,0,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,50000,10,2,2.1,0,inf,1,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_torus,50000,10,2,2.1,0,inf,0,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=55_square,50000,10,2,2.1,0,inf,1,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=55_torus,50000,10,2,2.1,0,inf,0,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,50000,10,2,2.1,0,inf,1,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_torus,50000,10,2,2.1,0,inf,0,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=666_square,50000,10,2,2.1,0,inf,1,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=666_torus,50000,10,2,2.1,0,inf,0,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,50000,10,2,2.1,0,inf,1,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_torus,50000,10,2,2.1,0,inf,0,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=1001_square,50000,10,2,2.1,0.4,2.5,1,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=1001_torus,50000,10,2,2.1,0.4,2.5,0,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=14_square,50000,10,2,2.1,0.4,2.5,1,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=14_torus,50000,10,2,2.1,0.4,2.5,0,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=237_square,50000,10,2,2.1,0.4,2.5,1,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=237_torus,50000,10,2,2.1,0.4,2.5,0,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=2_square,50000,10,2,2.1,0.4,2.5,1,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=2_torus,50000,10,2,2.1,0.4,2.5,0,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,50000,10,2,2.1,0.4,2.5,1,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_torus,50000,10,2,2.1,0.4,2.5,0,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,50000,10,2,2.1,0.4,2.5,1,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_torus,50000,10,2,2.1,0.4,2.5,0,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,50000,10,2,2.1,0.4,2.5,1,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_torus,50000,10,2,2.1,0.4,2.5,0,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=55_square,50000,10,2,2.1,0.4,2.5,1,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=55_torus,50000,10,2,2.1,0.4,2.5,0,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,50000,10,2,2.1,0.4,2.5,1,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_torus,50000,10,2,2.1,0.4,2.5,0,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=666_square,50000,10,2,2.1,0.4,2.5,1,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=666_torus,50000,10,2,2.1,0.4,2.5,0,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=836_square,50000,10,2,2.1,0.4,2.5,1,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.4_seed=836_torus,50000,10,2,2.1,0.4,2.5,0,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=1001_square,50000,10,2,2.1,0.53,1.88679,1,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=1001_torus,50000,10,2,2.1,0.53,1.88679,0,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=14_square,50000,10,2,2.1,0.53,1.88679,1,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=14_torus,50000,10,2,2.1,0.53,1.88679,0,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=237_square,50000,10,2,2.1,0.53,1.88679,1,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=237_torus,50000,10,2,2.1,0.53,1.88679,0,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=2_square,50000,10,2,2.1,0.53,1.88679,1,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=2_torus,50000,10,2,2.1,0.53,1.88679,0,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=321_square,50000,10,2,2.1,0.53,1.88679,1,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=321_torus,50000,10,2,2.1,0.53,1.88679,0,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=356_square,50000,10,2,2.1,0.53,1.88679,1,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=356_torus,50000,10,2,2.1,0.53,1.88679,0,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=489_square,50000,10,2,2.1,0.53,1.88679,1,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=489_torus,50000,10,2,2.1,0.53,1.88679,0,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=55_square,50000,10,2,2.1,0.53,1.88679,1,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=55_torus,50000,10,2,2.1,0.53,1.88679,0,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=64_square,50000,10,2,2.1,0.53,1.88679,1,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=64_torus,50000,10,2,2.1,0.53,1.88679,0,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=666_square,50000,10,2,2.1,0.53,1.88679,1,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=666_torus,50000,10,2,2.1,0.53,1.88679,0,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=836_square,50000,10,2,2.1,0.53,1.88679,1,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.53_seed=836_torus,50000,10,2,2.1,0.53,1.88679,0,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=1001_square,50000,10,2,2.1,0.62,1.6129,1,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=1001_torus,50000,10,2,2.1,0.62,1.6129,0,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=14_square,50000,10,2,2.1,0.62,1.6129,1,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=14_torus,50000,10,2,2.1,0.62,1.6129,0,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=237_square,50000,10,2,2.1,0.62,1.6129,1,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=237_torus,50000,10,2,2.1,0.62,1.6129,0,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=2_square,50000,10,2,2.1,0.62,1.6129,1,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=2_torus,50000,10,2,2.1,0.62,1.6129,0,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=321_square,50000,10,2,2.1,0.62,1.6129,1,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=321_torus,50000,10,2,2.1,0.62,1.6129,0,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=356_square,50000,10,2,2.1,0.62,1.6129,1,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=356_torus,50000,10,2,2.1,0.62,1.6129,0,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=489_square,50000,10,2,2.1,0.62,1.6129,1,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=489_torus,50000,10,2,2.1,0.62,1.6129,0,489
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=55_square,50000,10,2,2.1,0.62,1.6129,1,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=55_torus,50000,10,2,2.1,0.62,1.6129,0,55
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=64_square,50000,10,2,2.1,0.62,1.6129,1,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=64_torus,50000,10,2,2.1,0.62,1.6129,0,64
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=666_square,50000,10,2,2.1,0.62,1.6129,1,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=666_torus,50000,10,2,2.1,0.62,1.6129,0,666
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=836_square,50000,10,2,2.1,0.62,1.6129,1,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.62_seed=836_torus,50000,10,2,2.1,0.62,1.6129,0,836
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=1001_square,50000,10,2,2.1,0.76,1.31579,1,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=1001_torus,50000,10,2,2.1,0.76,1.31579,0,1001
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=14_square,50000,10,2,2.1,0.76,1.31579,1,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=14_torus,50000,10,2,2.1,0.76,1.31579,0,14
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=237_square,50000,10,2,2.1,0.76,1.31579,1,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=237_torus,50000,10,2,2.1,0.76,1.31579,0,237
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=2_square,50000,10,2,2.1,0.76,1.31579,1,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=2_torus,50000,10,2,2.1,0.76,1.31579,0,2
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=321_square,50000,10,2,2.1,0.76,1.31579,1,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=321_torus,50000,10,2,2.1,0.76,1.31579,0,321
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=356_square,50000,10,2,2.1,0.76,1.31579,1,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=356_torus,50000,10,2,2.1,0.76,1.31579,0,356
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.76_seed=489_square,50000,10,2,2.1,0.76,1.31579,1,489
